"ID","Place","DecLatitude","DecLongitude","Source","ModernName","Alternative.Name","Near","Ocean","Spanish","Dutch","French","Notes"
"273","Cape Donna Maria","18.67","-74.45","Times Atlas of the World","Cape Dame Marie, Haiti","","SW end of Haiti","North Atlantic","","",NA,""
"274","Cape Dorfui","10.48","51.33","Times Atlas of the World","Raas Xaafuun, Somalia","Ras Hafoon","East coast of africa south of Gulf of Aden","Indian Ocean","","",NA,""
"275","Cape Elizabeth","43.58","-70.47","","","","Portland, Maine","North Atlantic","","",NA,""
"276","Cape Elizabeth, N Am","43.58","-70.47","","","","","","","",NA,""
"277","Cape Espirita Santa, Vietnam","13.2","109.5","","","","","","","",NA,""
"278","Cape Falso","-34.58","19.33","","Cape Falso (Danger Point), S Africa","","","","","",NA,""
"279","Cape Fear","33.85","-77.97","Lloyds Maritime Atlas","","","","","","",NA,""
"280","Cape Finestere","42.88","-9.27","","","","","","","",NA,""
"281","Cape Finister","42.88","-9.27","","","","","","","",NA,""
"282","Cape Finisterre","42.88","-9.27","","","","","","","",NA,""
"283","Cape Finistre","42.88","-9.27","","","","","","","",NA,""
"284","Cape Finnester","42.88","-9.27","","","","","","","",NA,""
"285","Cape Finnister","42.88","-9.27","","","","","","","",NA,""
"286","Cape Finnistere","42.88","-9.27","","","","","","","",NA,""
"287","Cape Florida","25.75","-80.25","","Cape Florida (Miami)","","","","","",NA,""
"288","Cape Francois","19.5","-69.8333333333333","","Caco Frances Viejo","","San Domingo","North Atlantic","","",NA,""
"289","Cape Frio","-22.88","-42","","Capo Frio","","100 miles east of Rio de Janeiro","South Atlantic","","",NA,""
"290","Cape Froward","-53.9","-71.3","","Cape Horn","","Southermost land of South America","South Atlantic","","",NA,""
"291","Cape Gallo","6.17","80.22","","","","","","","",NA,""
"292","Cape Good Hope","-34.35","18.48","","","","","","","",NA,""
"293","Cape Good Hope (not African one)","-0.35","132.42","Pacific Islands Pilot, vol. I. #60","""Tandjung Yamursba"" or ""Kaap de Goede Hoop""","","","","","",NA,""
"294","Cape Good Success, Patagonia (C.S.Diego)","-54.63","-65.08","","","","","","","",NA,""
"295","Cape Guardafui, Somalia","11.8","51.37","","","","","","","",NA,""
"296","Cape Guardaufi","11.8","51.37","","Raas Caseyr","","Entrance to gulf of Aden, south side","Indian Ocean","","",NA,""
"297","Cape Hatteras","35.25","-75.52","Lloyds Maritime Atlas","Cape Hatteras, NC/USA","","","North Atlantic","","",NA,""
"298","Cape Henlopen","38.75","-75.1","Times Atlas of the World","Cape Henlopen, Delaware, U.S.A.","","Southern headland at entrance of Delaware Bay","North Atlantic","","",NA,""
"299","Cape Henrietta Maria, Hudson Bay","55.08","-82.5","","","","","","","",NA,""
"300","Cape Henry","36.83","-76.02","","Cape Henry, Virginia (near Norfolk)","","","","","",NA,""
"301","Cape Horn","-56","-67.25","","","","","","","",NA,""
"302","Cape Infanta","-34.45","20.85","Times Atlas of the World","Cape Infanta, South Africa","","next cape east of Cape Agulhas","Indian Ocean","","",NA,""
"303","Cape Jaques","25.63","57.77","GIS","Jask (Iran)","","","","","",NA,""
"304","Cape Jasques (Jask), Iran","25.63","57.77","","","","","","","",NA,""
"305","Cape Laguallas","-34.83","20","","","","","","","",NA,""
"306","Cape Lagulas","-34.83","20","","","","","","","",NA,""
"307","Cape Lagulias","-34.83","20","","","","","","","",NA,""
"308","Cape Lagullas","-34.83","20","","","","","","","",NA,""
"309","Cape Lahou","5.13","-5.02","David Rumsey op internet","","","Grand-Lahou, Ivory Coast","South Atlantic","","",NA,""
"310","Cape Legullus","-34.83","20","","","","","","","",NA,""
"311","Cape Look out","34.62","-76.52","Lloyds Maritime Atlas","Cape Lookout, NC/USA","","","North Atlantic","","",NA,""
"312","Cape Lopez","-1","9","http://www.jaconline.com.au/geography/jacatlas/samplepages/pdf/northafrica.pdf","","","Port-Gentil (Gabon)","South Atlantic","","",NA,"Estimate"
"313","Cape Lougan","0.35","6.73","NMM","North-east cape of Sao Tome.","","","","","",NA,""
"314","Cape Mahica, Oman","23","59","","","","","","","",NA,""
"315","Cape Maize","20.25","-74.13","Pilot #70","Punta de Maisi (Cabo Maysi), Cuba ","","Jamaica","North Atlantic","","",NA,""
"316","Cape May","38.93","-74.9","Times Atlas of the World","Cape May, New Jersey, U.S.A.","","Northern headland at entrance of Delaware Bay","North Atlantic","","",NA,""
"317","Cape Merseldon (near Bandar Abbas/Jask)","26","58","","","","","","","",NA,""
"318","Cape Monerado","6.33","-10.83","NMM","Mesurado","","","","","",NA,""
"319","Cape Moniferado","6.33","-10.83","NMM","Mesurado","","","","","",NA,""
"320","Cape Mount","6.73","11.38","Pilot #1 ","Cape Mount, Liberia","","north of Monrovia, Liberia","North Atlantic","","",NA,""
"321","Cape Mozambique","-15","40.73","","","","","","","",NA,""
"322","Cape Negrais","15.95","94.2","","","","SW end of Rangoon","Indian, Bay of Bengal","","",NA,""
"323","Cape Negrais, E Bay of Bengal, Myanmar","15.95","94.2","","","","","","","",NA,""
"324","Cape Nicholas Mole","19.8","-73.5","Times Atlas of the World","Le Mole St. Nicolas, Haiti","","San Domingo","North Atlantic","","",NA,""
"325","Cape Nicholas, San Domingo","19.8","-73.5","Times Atlas of the World","Le Mole St. Nicolas, Haiti","","San Domingo","North Atlantic","","",NA,""
"326","Cape of Good Hope","-34.35","18.48","","","","","","","",NA,""
"327","Cape of Good Hope (bon Esperare)","-34.35","18.48","","","","","","","",NA,""
"328","Cape of good Hope, (Bon Espare)","-34.35","18.48","","","","","","","",NA,""
"329","Cape of Good Hope, New Guinea","-0.333333333333333","132.5","","Tanjung Yamursha","","NW end of New Guinea near Dampier Strait","Pacific","","",NA,""
"330","Cape of Good Hope, S Africa","-34.35","18.48","","","","","","","",NA,""
"331","Cape of Spartel","35.8","-5.93","","","","","","","",NA,""
"332","Cape Ortugall (Ortegal)","43.7","-7.87","Bay of Biscay Pilot. #22","Cabo Ortegal","","","","","",NA,""
"333","Cape Palmas","4.37","-7.73","Africa Pilot. #1","Cape Palmas","","","","","",NA,""
"334","Cape Palmiras","20.77","86.98","","Palmyras Point","Cape Palmira","SW of Calcutta","Indian Ocean","","",NA,""
"335","Cape Palmos","4.37","-7.73","Africa Pilot. #1","Cape Palmas","","","","","",NA,""
"336","Cape Pembrook (Coats Isl), HB","62.5","-82","","","","","","","",NA,""
"337","Cape Pillar","-52.5","-75.3333333333333","","Cabo Pilar","","450 miles NW Cape Horn, western end of Straits of Magellan","Pacific","","",NA,""
"338","Cape Pyne","46.63","-53.58","Times Atlas of the World","Cape Pine, Newfoundland, Canada","","SE Newfoundland between St Mary's Bay and Cape Race","North Atlantic","","",NA,""
"339","Cape Race","46.67","-53.13","","Cape Race, NWFL","","","","","",NA,""
"340","Cape Ramas","-25.03","47","","longitude of Fort Dauphin was taken","","","","","",NA,""
"341","Cape Ray","47.62","-59.3","Lloyds Maritime Atlas","Cape Ray, Newfoundland, Canada","","","North Atlantic","","",NA,""
"342","Cape Raysmas, EI (7 l. N of Carwarr)","15.02","75","","","","","","","",NA,""
"343","Cape Razier",NA,"-64","","","","","","","",NA,"Estimate"
"344","Cape Resolution, HB","61.5","-64.17","","","","","","","",NA,""
"345","Cape Roca","38.78","-9.5","Lloyds Maritime Atlas","Cabo Roca. Cape Roxent","","","","","",NA,""
"346","Cape Roque","-5","-35.5","","Cabo de Sao Roque","","NW corner of Brazil","South Atlantic","","",NA,""
"347","Cape Rosulgate (near Bandar Abbas/Jask)","26","59.75","","","","","","","",NA,""
"348","Cape Roxant","38.78","-9.5","Lloyds Maritime Atlas","Cabo Roca. Cape Roxent","","","","","",NA,""
"349","Cape Roxen","38.78","-9.5","Lloyds Maritime Atlas","Cabo Roca. Cape Roxent","","","","","",NA,""
"350","Cape Roxent","38.78","-9.5","Lloyds Maritime Atlas","Cabo Roca. Cape Roxent","","","","","",NA,""
"351","Cape Roxint","38.78","-9.5","Lloyds Maritime Atlas","Cabo Roca. Cape Roxent","","","","","",NA,""
"352","Cape Roy","47.62","-56.53","Pilot #50","Cape Ray, Newfoundland, Canada","Cape Ray","SW Newfoundland","North Atlantic","","",NA,""
"353","Cape Russelgate","26","59.75","","","","","","","",NA,""
"354","Cape Sable","43.5","-65.6666666666667","","Cape Sable Island","","southermost point of Nova Scotia","North Atlantic","","",NA,""
"355","Cape Samboro","44.48","-63.6","Lloyds Maritime Atlas","Sambro Harbour (NS)","","","","","",NA,""
"356","Cape Samborough","44.48","-63.6","Lloyds Maritime Atlas","Sambro Harbour (NS)","","","","","",NA,""
"357","Cape Sambra","44.48","-63.6","Lloyds Maritime Atlas","Sambro Harbour (NS)","","","","","",NA,""
"358","Cape Sambro","44.48","-63.6","Lloyds Maritime Atlas","Sambro Harbour (NS)","","","","","",NA,""
"359","Cape San Lucas, Baja California, Mexico","22.83","-109.92","","","","","","","",NA,""
"360","Cape Sancho",NA,NA,"","","","","South Atlantic","","",NA,""
"361","Cape Sancto","-5","-35.5","","Cabo de Sao Roque","","NW corner of Brazil","South Atlantic","","",NA,""
"362","Cape Sancto Rock","-5","-35.5","","Cabo de Sao Roque","","NW corner of Brazil","South Atlantic","","",NA,""
"363","Cape Serra Lion","8.52","-13.33","","","","","","","",NA,""
"364","Cape Serrlione","8.52","-13.33","","","","","","","",NA,""
"365","Cape Sieraliona","8.52","-13.33","","","","","","","",NA,""
"366","Cape Sierliona","8.52","-13.33","","","","","","","",NA,""
"367","Cape Sierra Leon","8.52","-13.33","","","Sierra Lion","Freetown?","North Atlantic","","",NA,""
"368","Cape Sierra Leone","8.52","-13.33","","","","","","","",NA,""
"369","Cape Smith","61.67","-78.75","","","","","","","",NA,""
"370","Cape Spartel","35.8","-5.93","","","","","","","",NA,""
"371","Cape Spartell","35.8","-5.93","","","","","","","",NA,""
"372","Cape Spear","47.52","-52.62","Newfoudland and Labrador Pilot, # 50","","","","","","",NA,""
"373","Cape Spitchell","38.4","-9.2","","Cabo Espichel","","Lisbon/Setubal","North Atlantic","","",NA,""
"374","Cape St Anthony, Argentina","-36.67","-56.7","","","","","","","",NA,""
"375","Cape St Augustin (Recife)","-8.05","-34.9","","","","","","","",NA,""
"376","Cape St Augustine","-8.05","-34.9","","","","","","","",NA,""
"377","Cape St Diego","-54","-65","","Cabo San Diego","","East end of Tierra del Fuego","South Atlantic","","",NA,""
"378","Cape St Francis","47.82","-52.78","Newfoundland and Labrador Pilot. #50","","","","","","",NA,""
"379","Cape St George","48.5","-59.2","","Cape St. Georges","","Newfoundland","","","",NA,""
"380","Cape St Johns","21.17","72.9","","","","","","","",NA,""
"381","Cape St Lucia","-28.5","32.4","http://www.globalbioclimatics.org/station/so-cape1.html","Natal??","","","","","",NA,""
"382","Cape St Maria","44.23","-66.22","Lloyds Maritime Atlas","Nova Scotia","","","","","",NA,""
"383","Cape St Maries","13.47","-16.67","","Banjul, Gambia","","","","","",NA,""
"384","Cape St Maries, New Foundland","47","-54","","Cape St Mary","","Newfoundland","North Atlantic","","",NA,""
"385","Cape St Mary","13.47","-16.67","","Banjul, Gambia","","","","","",NA,""
"386","Cape St Mary, Rio de la Plata","-34.5","-54","","Cabo Santa Maria","Cape Santa Maria","North of Rio de La Plata","South Atlantic","","",NA,""
"387","Cape St Marys","13.47","-16.67","","Banjul, Gambia","","","","","",NA,""
"388","Cape St Mary's","13.47","-16.67","","Banjul, Gambia","","","","","",NA,""
"389","Cape St Marys (NS)","44.23","-66.22","Lloyds Maritime Atlas","Nova Scotia","","","","","",NA,""
"390","Cape St Mary's, Madagascar","-25.55","44.9833333333333","","Tanjona Vohimena","","South end of Madagascar","Indian Ocean","","",NA,""
"391","Cape St Roque","-5","-35.5","","Cabo de Sao Roque","","NW corner of Brazil","South Atlantic","","",NA,""
"392","Cape St Vincent","37.02","-9","Lloyds Maritime Atlas","","","","","","",NA,""
"393","Cape Three Points","4.75","-2.1","","","","Cape Coast, Ghana, Gulf of Guinea","North Atlantic","","",NA,""
"394","Cape Three Points (Tres Puntas), W Afr.","4.75","-2.1","","","","","","","",NA,""
"395","Cape Tiberoon","18.35","-74.45","Pilot #70","Cap Tiburon, Haiti","","Jamaica","North Atlantic","","",NA,""
"396","Cape Town","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"397","Cape Verd","14.72","-17.52","","","","","","","",NA,""
"398","Cape Verde","14.72","-17.52","","","","","","","",NA,""
"399","Cape Virgin Mary","-52.42","-68.42","","Cabo Virgines","Cape Virgins","Eastern entrance to the Strait of Magellan","South Atlantic","","",NA,""
"400","Cape Virgin Mary, Argentina (C.Virgenes)","-52.42","-68.42","","","","","","","",NA,""
"401","Cape Walsingham, Diggs island","62.5","-77.5","","","","","","","",NA,""
"402","Carbonera","37","-1.8833","Times Atlas of the World","Carboneras, Spain","","","","","",NA,""
"403","Carenage Entrance","12.05","-61.75","Lloyds Maritime Atlas","The Carenage, St George, Grenada","","","","","",NA,""
"404","Carlisle baai, Barbados","13.0833","-59.6167","Times Atlas of the World","Carlisle Bay, Barbados","","","","","",NA,""
"405","Carlisle Bay","13.0833","-59.6167","Times Atlas of the World","Carlisle Bay, Barbados","","","","","",NA,""
"406","Carnar","14.83","74.15","Times Atlas of the World","Karwar, India","","","","","",NA,""
"407","Carrick Road","50.15","-5.06","Times Atlas of the World","Carrick Roads, Cornwall, England","","Falmouth","North Atlantic","","",NA,""
"408","Cartagena","37.6","-0.9833","Times Atlas Of The World","Cartagena, Spain","","","","","",NA,""
"409","Casserijen","21.95","88","Times Atlas of the World","Probably Khajuro, W Bengal, India","","","Indian Ocean","","",NA,""
"410","Castle Island","52","-55.83","Pilot #50","Castle Island, Labrador, Canada","","Henley Harbour, Labrador, Canada","North Atlantic","","",NA,""
"411","Castries","51.4667","140.7667","Times Atlas of the World","De Kastri, Rusia","","","","","",NA,""
"412","Catanduanes","14","124.3","Internet","Catanduanes","","Philipines","Pacific","","",NA,""
"413","Cataris Point, India (Cp Comorin??)","8.1","77.55","","","","","","","",NA,""
"414","Cavite","14.5","120.92","Lloyds Maritime Atlas","Cavite","","","","","",NA,""
"415","Cayenne","4.9167","52.3","Times Atlas of the World","Cayenne, French Guiana","","","","","",NA,""
"416","Cazco Bay","43.6666666666667","-70","","Casco Bay","","Portland, Maine","North Atlantic","","",NA,""
"417","Cevita bij St Machiel","37.73","-25.67","Times Atlas of the World","Ponta Delgada ?","","","","","",NA,""
"418","Ceylon","6","80","Times Atlas of the World","Genomen ongeveer Galle, Sri Lanka","","","","","",NA,""
"419","Chagos Archipelago, Indian Ocean","6.1","72.5","","","","","","","",NA,""
"420","Chain Island","-17.25","-145.5","","","Anaa","French Polynesia, Tuamotu Islands","Pacific","","",NA,""
"421","Chapeau Rouge","47.42","-54.17","Times Atlas of the World","Red Island, Newfoundland, Canada","","","North Atlantic","","",NA,""
"422","Charillo","-12.1667","-77.0167","Times Atlas of the World","Chorrillos, Peru","Lima, Peru","","","","",NA,""
"423","Charles Isl, E end HB","62.58","-74.58","","","","","","","",NA,""
"424","Charles Town","32.75","-79.8667","","","","","","","",NA,""
"425","Charles Town (Charleston)","32.75","-79.8667","","","","","","","",NA,""
"426","Charles town Lighthouse","32.75","-79.8667","","","","","","","",NA,""
"427","Charlestown","32.75","-79.8667","","","","","","","",NA,""
"428","Charlestown/Cape Charles, Virginia","37.13","-75.98","","","","","","","",NA,""
"429","Chebukta Harbour","43.67","-65.83","Lloyds Maritime Atlas","Abbot Harbour, Chebogue, Nova Scotia, Canada","","","","","",NA,""
"430","Chedabucto Bay","45.5","-61","","","","North-eastern Nova Scotia","North Atlantic","","",NA,""
"431","Cherebon Flagstaff","-6.77","108.55","Times Atlas of the World","Ceribon, Java","","","","","",NA,""
"432","Cherebon Road","-6.77","108.55","Times Atlas of the World","Ceribon, Java","","","","","",NA,""
"433","Cherillos","-12.17","-77.02","Times Atlas of the World","Chorrillos, Peru","","","","","",NA,""
"434","Chilley Anderman","13","93","","","","","","","",NA,""
"435","Christiaan Zand","58.13","8.02","Times Atlas of the World","Kristiansand, Norway","","","","","",NA,""
"436","Christmas Island","-10.5","105.67","","Christmas Island, Indian Ocean","","","","","",NA,""
"437","Christova","-16.5","43","","","Isle St Christopher","North-east of Juan de Nova in the Mozambique Channel","Indian Ocean","","",NA,""
"438","Churchill river, fort Prince Rupert","58.75","-94","","","","","","","",NA,""
"439","Clapper Eiland","-7","105.53","Times Atlas of the World","Deli, Java","","","","","",NA,""
"440","Clarence Cove","3.75","8.8","Times Atlas of the World","Malabo, ","","","","","",NA,""
"441","Cocalore",NA,NA,"","","","Sunda Strait (Java)","","","",NA,""
"442","Cochim","9.33","76.25","vocab.pub.getty.edu","Cochin, Kerala, India","","","","","",NA,""
"443","Cochin","9.33","76.25","vocab.pub.getty.edu","Cochin, Kerala, India","","","","","",NA,""
"444","Coco Island, Bay of Bengal","14.13","93.38","Lloyds Maritime Atlas","","","","","","",NA,""
"445","Cocos (Keeling) Isl","-12.1","96.867","Lloyds Maritime Atlas","Cocos (Keeling) Island, Australia","","","Indian Ocean","","",NA,""
"446","Cocos Island (Pacific)","13.2333333333333","144.65","Times Atlas of the World","Guam, Pacific Ocean","","","","","",NA,""
"447","Cocos Islands","-12.1","96.867","Lloyds Maritime Atlas","Cocos (Keeling) Island, Australia","","","Indian Ocean","","",NA,""
"448","Coepang","-10.217","123.633","vocab.pub.getty.edu","Kupang, Timor, Indonesia","","","","","",NA,""
"449","Coffin Land","32.433","-80.467","","Coffin Point, South Carolina, USA","","","","","",NA,""
"450","Collemoye","10.2833","79.8667","Times Atlas of the World","Kodikkarai, Tamil Nadu, India","Point Calimere","South of Madras","Indian Ocean","","",NA,""
"451","Colombo","6.9167","79.8667","vocab.pub.getty.edu","Colombo, Sri Lanka","","","","","",NA,""
"452","Colombo, Sri Lanka","6.9167","79.8667","","Colombo, Sri Lanka","","","","","",NA,""
"453","Colombos","6.9167","79.8667","Times Atlas of the World","Colombo, Sri Lanka","","","","","",NA,""
"454","Columba","6.9167","79.8667","","Colombo, Sri Lanka","","West side of Sri Lanka","Indian Ocean","","",NA,""
"455","Comaro","-12.75","43.35","","Ile Grande Comore","","","","","",NA,""
"456","Comendo","5.05","-1.5","Africa Pilot Vol 1. # 1","Komenda Point","","","","","",NA,""
"457","Comero","-12.75","43.35","","Ile Grande Comore","","","","","",NA,""
"458","Comero Islands","-12.75","43.35","","Comoros Islands","","","Indian Ocean","","",NA,""
"459","Commenda","5.05","-1.5","Africa Pilot Vol 1. # 1","Komenda Point","","","","","",NA,""
"460","Commenda (Africa?)","5.05","-1.5","Africa Pilot Vol 1. # 1","Komenda Point","","","","","",NA,""
"461","Commendo","5.05","-1.5","Africa Pilot Vol 1. # 1","Komenda Point","","","","","",NA,""
"462","Comora","-12.75","43.35","","Ile Grande Comore","","","","","",NA,""
"463","Comore, Comoro Islands (near Madagascar)","-12.75","43.35","","","","","","","",NA,""
"464","Comorin","-12.75","43.35","","Ile Grande Comore","","","","","",NA,""
"465","Comoro","-12.75","43.35","","Ile Grande Comore","","","","","",NA,""
"466","Constapels","40.65","-74.8","http://www.co-ops.nos.noaa.gov/NYOFS/cons_cur.shtml","Constable Hook","","","","","",NA,""
"467","Coopers Island","-6.16666666666667","106.85","","off Jakarta, Island of Java","","Batavia, Java","Indian Ocean","","",NA,""
"468","Corana","-31.583","28.83","fat-albert.alexandria.ucsb.edu","Corana River, South Africa","","","","","",NA,""
"469","Corantijn rivier?","6","-59.83","fat-albert.alexandria.ucsb.edu","Mouth of Corantijn River, Turtle Bank, Surinam, South-America","","","","","",NA,""
"470","Cork Head","51.8","-8.27","Times Atlas of the World","","","","","","",NA,""
"471","Cormais (Caicos)","21.83","-71.83","","","","","","","",NA,""
"472","Corvo","39.717","-31.133","vocab.pub.getty.edu","Island of Corvo, Azores, Atlantic Ocean","","","","","",NA,""
"473","Couchin","9.33","76.25","vocab.pub.getty.edu","Cochin, Kerala, India","","","","","",NA,""
"474","Courantijn","6","-57.0619","Times Atlas of the World","Courantijn River, Guyana","","","","","",NA,""
"475","Cowes","50.75","-1.3","Times Atlas of the World","Cowes, op Isle of Wight","","","","","",NA,""
"476","Cracatoa","-6.18","105.43","","Krakatau, Indonesia","","","","","",NA,""
"477","Crangenoor","10.2","76.1833333333333","Times Atlas of the World","Cranganur, Kerala, India","","","","","",NA,""
"478","Crew Setra","4.96666666666667","-8.86666666666667","Times Atlas of the World","Settra Kru, Liberia, Africa","","","","","",NA,""
"479","Crooked Island","22.75","-74.2","","","","","","","",NA,""
"480","Crooked Island (Bahamas)","22.75","-74.2","","","","","","","",NA,""
"481","Crooked Island (Passage)","22.75","-74.2","","","","Bahamas","North Atlantic","","",NA,""
"482","Croque, Newfoundland","51.333","-55.8","http://uk.multimap.com/wi/browse.cgi?X=-6212500&Y=6600000&width=500&height=300&client=public&gride=&gridn=&keepicon=false&coordsys=mercator&addr1=&addr2=&addr3=&pc=&advanced=&scale=500000&in.x=8&in.y=7","","","","","","",NA,""
"483","Cuba","23.13","-82.39","","Cuba, La Habana (Havana)","","","","","",NA,""
"484","Cumana","10.4833","-64.2","Times Atlas of the World","Cumana, Venezuela","","","","","",NA,""
"485","Cumberland Harbour","19.98","-75.17","Times Atlas of the World","Guantanamo Bay, Cuba","","Cuba","North Atlantic","","",NA,""
"486","Curacao","12.2","-68.933","vocab.pub.getty.edu","Willemstad, Curacao, Nederlandse Antillen","","","","","",NA,""
"487","Curacao, voor het Waaigat","12.2","-68.933","vocab.pub.getty.edu","Willemstad, Curacao, Nederlandse Antillen","","","","","",NA,""
"488","Dabul","17.67","73.17","Times Atlas of the World","Dabhol, Maharashtra, India","","close to Bombay","Indian Ocean","","",NA,""
"489","Dageraad","6","-57.65","davidrumsey.com","","","","","","",NA,""
"490","Dallago Bay","-25.9","33","Times Atlas of the World","Baia de Lourenco Marques, Mozambique","Delagoa Bay","Maputo, Mozambique","Indian","","",NA,""
"491","Dartmouth","50.35","-3.59","Times Atlas of the World","Dartmouth","","","","","",NA,""
"492","Dasseneiland","-33.4167","18.0833","Times Atlas of the World","Dasseneiland, South Africa","","","","","",NA,""
"493","Dauphin Bay, Madagascar","-25.02","47","Times Atlas of the World","Tolanaro (fort Dauphin).","","","","","",NA,""
"494","Davilican baai","17.33","122.33","Times Atlas of the World","Divilacan Bay, Luzon, Philippines.","","","","","",NA,""
"495","De Goede Rheede","51.83","3.98","Times Atlas of the World","Goedereede","","","","","",NA,""
"496","De Singels","50.67","-1.58","Pilot #27","Shingles, Isle of Wight","","","","","",NA,""
"497","De Vlieter","53","5.01","Hydrografische kaart voor kust- en binnenwateren","De Vlieter","","","","","",NA,""
"498","Deal","51.23","1.4","Times Atlas of the World","Deal","","","","","",NA,""
"499","Dear Sound","58.95","-2.783","North coast of Scotland Pilot","Deer Sound","","Orkney","North Atlantic","","",NA,""
"500","Decima","32.75","129.87","davidrumsey.com","Nagasaki","","","","","",NA,""
"501","Del Feugo","14.917","-24.417","vocab.pub.getty.edu","Fogo, Cabo Verde, Africa","","","","","",NA,""
"502","Dellago Bay","-22.97","33","Africa Pilot Vol III, #3","Baia de Maputo","","","","","",NA,""
"503","d'Elmina","5.15","-1.317","vocab.pub.getty.edu","Elmina, Ghana, Africa","","","","","",NA,""
"504","Demane, Indian W coast","20.42","72.97","","","","","","","",NA,""
"505","Demmerarij","4.7667","-58.1667","Times Atlas of the World","Georgetown (Demerara), Guyana","","","","","",NA,""
"506","Demmerarije","4.7667","-58.1667","Times Atlas of the World","Georgetown (Demerara), Guyana","","","","","",NA,""
"507","Den Helder","52.9667","4.7667","Times Atlas of the World","Den Helder, The Netherlands","","","","","",NA,""
"508","Descada","16.23","-61.53","","","","","","","",NA,""
"509","Descardo","16.23","-61.53","West Indies Pilot, Vol 2. #71","","","","","","",NA,""
"510","DESCONOCIDO","0","0","","Betekend onbekend","","","","","",NA,""
"511","Desirada","16.23","-61.53","West Indies Pilot, Vol 2. #71","","","","","","",NA,""
"512","Desseada (Desirada)","16.23","-61.53","West Indies Pilot, Vol 2. #71","","","","","","",NA,""
"513","Dicks Cove","4.78333333333333","-1.95","Africa Pilot, #1","Ahanta point, Ghana, Africa","","","","","",NA,""
"514","Diego Bay (Rodrigues Isl?)","-19.68","63.3","","","","","","","",NA,""
"515","Diego Garcia","-6.567","72.4","","","","","","","",NA,""
"516","Diego Ramirez Island","-57","-68.5","","Isla Diego Ramirez","","South-west of Cape Horn","Pacific","","",NA,""
"517","Diego Ray","-19.68","63.3","","","","","","","",NA,""
"518","Diego Ray (Rodriguez)","-19.68","63.3","","","","","","","",NA,""
"519","Diego Ray or Rodrigues","-19.68","63.3","","","","","","","",NA,""
"520","Diego Rays","-19.68","63.3","","","","","","","",NA,""
"521","Diego Rays (Rodriques)","-19.68","63.3","","","","","","","",NA,""
"522","Diego Ries","-19.68","63.3","","","","","","","",NA,""
"523","Diggs island W end","62","-78","","","","","","","",NA,""
"524","Dodman","50.166666667","-4.75","","","","Between Plymouth and Falmouth, Cornwall","North Atlantic","","",NA,""
"525","Dodman Point","50.1666666666667","-4.75","","","","Between Plymouth and Falmouth, Cornwall","North Atlantic","","",NA,""
"526","Dog Island","18.2667","-63.25","http://news.ai/ref/dogisland.html","","","Anguilla","","","",NA,""
"527","Dolphin Nose","17.67","83.3","Bay of Bengal Pilot. #21","","","","","","",NA,""
"528","Don Mascaramus","-21.1","55.5","","","","","Indian Ocean","","",NA,"estimated near La Reunion"
"529","Dondra Head, S point Sri Lanka","6","80.5","","Dondra Head","","Southermost point of Sri Lanka","Indian Ocean","","",NA,""
"530","Doodkist van Sedaijo","112.345","60.9667","KNMI IV.t.39, overzichtskaart Java en Madoera","","Sidajoe, Indonesia","","","","",NA,""
"531","Duck Island",NA,NA,"","","","Spitzbergen","North Atlantic","","",NA,""
"532","Duffis Island",NA,NA,"","Dussis?","","Iceland","North Atlantic","","",NA,""
"533","Duins","51.233","1.433","","","","","","","",NA,""
"534","Dunder Head","6","80.5","","Dondra Head","","Southermost point of Sri Lanka","Indian Ocean","","",NA,""
"535","Dunderhead","6","80.5","","Dondra Head","","Southermost point of Sri Lanka","Indian Ocean","","",NA,""
"536","Dundre Head","6","80.5","","Dondra Head","","Southermost point of Sri Lanka","Indian Ocean","","",NA,""
"537","Dungenes","50.9167","0.9667","Times Atlas of the World","Dungeness, England","","","","","",NA,""
"538","Dungeness","50.9167","0.9667","Times Atlas of the World","Dungeness, England","","","","","",NA,""
"539","Dunnose","50.9","-1.3","","","","","","","",NA,""
"540","Dunnoze","50.9","-1.3","","","","","","","",NA,""
"541","Dunose","50.9","-1.3","","","","","","","",NA,""
"542","Dunose, Isle of Wight","50.9","-1.3","","","","","","","",NA,""
"543","Dwars in de Weg","-5.96666666666667","105.9","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Pulo Sangiang, Java, Indonesia, Asia","","","","","",NA,""
"544","E pt of Java","-6.36","105.37","","","","","","","",NA,""
"545","East end of Porto Rico","18.3","-65.5","","","","","","","",NA,""
"546","East most part of Crooked Island","22.75","-74.15","","","","","","","",NA,""
"547","Eddystone","50.2","-4.25","","","","","","","",NA,""
"548","Eddystone, Falklands","-51.3833333333333","-64.0833333333333","","","","Off Cape Dolphin, Falkland Islands","South Atlantic","","",NA,""
"549","Edystone","50.2","-4.25","","","","","","","",NA,""
"550","El Callao","-12.0833","-77.1333","Times Atlas of the World","Callao, Peru","","","","","",NA,""
"551","Elephant Bay, Angola (Namibe)","-14.07","12.33","","","","","","","",NA,""
"552","Eliphant on Celone","6.33","81.5","West Coast of India Pilot #38","Elephant Rock","","","","","",NA,""
"553","Elmina","5.15","-1.317","vocab.pub.getty.edu","Elmina, Ghana, Africa","","","","","",NA,""
