"ID","ShipName","LogbookIdent","Duplicate"
598,"Eliza","Extract M, Reis 30, pp. 91-95",0
599,"Eliza","NMM WDR/1/2",0
600,"Eliza Susanna","Extract B, Reis 3",0
601,"Eltham","NMM ADM/L/E95",0
602,"Emerald","NMM ADM/L/E99",0
603,"Endeavour","Beaglehole C4752",0
604,"Enterprise","NMM ADM/L/E12B",0
605,"Eolus","Extract B, Reis 6",0
606,"Essex","BL L/MAR/B/229L",0
607,"Estafette","Extract M, Reis 42,pp.210",0
608,"Etna","MAR_D23905_1296",0
609,"Euphrates","BL L/MAR/B/262A",0
610,"Euphrates","BL L/MAR/B/262B",0
611,"Euridice","MAR_D23905_1306",0
612,"Euridice","MAR_D23905_1308",0
613,"Euridice","MAR_D23905_1309",0
614,"Euridice","MAR_D23905_1311",0
615,"Europa","Extract 15+, Reis 16 p. 9-12",0
616,"Europa","Extract E, Reis 01, p1-9",0
617,"Europa","Extract W, Reis 9",0
618,"EUROPA","MS. 271, doc 22",0
619,"Europa","NMM ADM/L/E148b",0
620,"Europa","NMM ADM/L/E155",0
621,"Euryalus","NMM ADM/L/E200",0
622,"Expedition","NMM ADM/L/E14",0
623,"Experiment","NMM ADM/L/E196a",0
624,"Experiment","NMM ADM/L/E198",0
625,"Fairy","NMM ADM/L/F1",0
626,"Fairy","NMM ADM/L/F117",0
627,"Falcon","NMM ADM/L/F230",0
628,"Falcon","NMM ADM/L/F5",0
629,"Falcon","NMM ADM/L/F7",0
630,"Falkland","NMM ADM/L/F24",0
631,"Falkland","NMM ADM/L/F25",0
632,"Falmouth","NMM ADM/L/F42",0
633,"Fanny","FAM_C22253_11",0
634,"Fanny","FAM_C22253_12",0
635,"Favourite","NMM ADM/L/F59",0
636,"Favourite","NMM ADM/L/F63",0
637,"FENIX","MS. 210",0
638,"FENIX","MS. 1789",1
639,"Ferret","NMM ADM/L/F169",0
640,"Ferret","NMM ADM/L/F70A",0
641,"Flora","NMM ADM/L/F7",0
642,"Flores","MAR_D23905_1420",0
643,"Florida","PRO ADM 51/3838",0
644,"Formosa","Extract X, Reis 10",0
645,"Formosa","Extract X, Reis 12, p 43-58",0
646,"Fowey","NMM ADM/L/F205",0
647,"Fox","NMM ADM/L/F216",0
648,"Fox","NMM ADM/L/F218",0
649,"Frankendaal","1-266_S431(7)",0
650,"Frankendaal","1-274_S431(8)",0
651,"Freden","KVABS Ms. Dalman J.F.",0
652,"Friedrich","GAD_156_15",0
653,"GALLARDO","MS. 1793",0
654,"GALLARDO","MS. 1796",1
655,"GALLARDO","MS. 2087",2
656,"GALLARDO","MS. 878",3
657,"Ganges","NMM ADM/L/G8",0
658,"Ganges","NMM MLN/101/3",0
659,"Garland","NMM ADM/L/G200",0
660,"Gedeh","MAR_D23905_1637",0
661,"Geertruida","MAR_D23318_40",0
662,"Geertuijda en Christina","MCC_20_429",0
663,"General Coote","BL L/MAR/B/441A",0
664,"General Coote","BL L/MAR/B/441B",0
665,"General Elliot","NMM MLN/2",0
666,"George IV","LOG/C/2",0
667,"Georgina","BL L/MAR/B/156D",0
668,"Georgina","BL L/MAR/B/156E",0
669,"Georgina","BL L/MAR/B/156F",0
670,"Gibraltar","NMM ADM/L/G203",0
671,"Gibraltar","NMM ADM/L/G25",0
672,"Gibraltar","NMM ADM/L/G30",0
673,"Gier","MAR_D23905_1721",0
674,"Glasgow","NMM ADM/L/G34",0
675,"Glasgow","NMM ADM/L/G35",0
676,"Glasgow","NMM ADM/L/G38",0
677,"Glasgow","NMM PLT/17",0
678,"Glatton","BL L/MAR/B/172F",0
679,"Glatton","BL L/MAR/B/172G",0
680,"Glatton","NMM UPN/51",0
681,"Glatton","NMM UPN/6",0
682,"Glory","NMM ADM/L/G44",0
683,"Goede Intentie","MMR_H692",0
684,"Goede Trouw","VOC_152_11429",0
685,"Gorgon","NMM ADM/L/G66A",0
686,"Gosport","NMM ADM/L/G76",0
687,"Gosport","NMM ADM/L/G78",0
688,"Götha Leijon","GUB.SOKA.H-22-3 (1291)",0
689,"Gouverneur Elsevier","Extract O, Reis 16, p.151-159",0
690,"Gouverneur Generaal de Klerk","VOC_152_11427",0
691,"Gouverneur Generaal De Klerk","VOC_152_5141",0
692,"Grafton","NMM ADM/L/G100",0
693,"Grafton","NMM ADM/L/G101",0
694,"Grafton","NMM ADM/L/G207",0
695,"Grampus","NMM ADM/L/G114",0
696,"Grampus","NMM ADM/L/G30",0
697,"GRANIZO","MS. 2024",0
698,"Greenwich","NMM ADM/L/G126",0
699,"Greenwich","NMM ADM/L/G154",0
700,"Grenadier","MCC_20_461",0
701,"Grenadier","MCC_20_467",0
702,"Greyhound","NMM ADM/L/G136",0
703,"Greyhound","NMM ADM/L/G140B",0
704,"Greyhound","NMM ADM/L/G142",0
705,"Griffin","BL L/MAR/B/603A",0
706,"Griffin","NMM ADM/L/G149",0
707,"Guadaloupe","NMM ADM/L/G153",0
708,"Guardian","NMM ADM/L/rusi/nm/235/er/7/3/",0
709,"Guernsey","NMM ADM/L/G190",0
710,"Haarlemmerhout","ADM_177_2388",0
711,"Haarlemmerhout","ADM_193_45",0
712,"Haarlemmerhout","ADM_193_5",0
713,"Haast U Langzaam","MCC_20_511",0
714,"Haast U Langzaam","MCC_20_523",0
715,"Haast U Langzaam","MCC_20_537",0
716,"Haast U Langzaam","MCC_20_542",0
717,"Haay","Extract V, Reis 7, pp. 55-60",0
718,"Haay","MAR_D23905_1830",0
719,"Hampshire","NMM ADM/L/H20",0
720,"Hampshire","NMM ADM/L/H21",0
721,"Hannach","ADM_181_IX-3",0
722,"Hannibal","NMM ADM/L/H166",0
723,"Hannibal","NMM ADM/L/H43",0
724,"Harrier","NMM ADM/L/H54",0
725,"Havick","ADM_181_1",0
726,"Havick","ADM_181_IX-3",0
727,"Havick","NMM ADM/L/H92",0
728,"Hebe","NMM ADM/L/H94",0
729,"Hecla","Extract 17+, Reis 23",0
730,"Hector","BL L/MAR/B/486A",0
731,"Hector","NMM ADM/L/4/109",0
732,"Hector","NMM ADM/L/H112B",0
733,"Hector","NMM ADM/L/H118",0
734,"Heldin","MAR_D23905_2021",0
735,"Heldin","Extract T, Reis 14",1
736,"Hendrika","Extract C, Reis 13, p187-197",0
737,"Henriette Clasina","Extract B, Reis 4",0
738,"Henriette Clasina","Extract L, Reis 5",0
739,"Henriette Clasina","Extract M, Reis 35 pp. 125-132",0
740,"Hercules","GAA_Bibliotheek_M165",0
741,"Hercules","GAA_Bibliotheek_M951_53",0
742,"HERCULES","MS. 1846",0
743,"HERCULES","MS. 494",0
744,"Hercules","GAA_Bibliotheek_M951_54",1
745,"Hermes","NMM ADM/L/H160",0
746,"Heroine","NMM ADM/L/H145",0
747,"Hester","NMM ADM/L/W162",0
748,"Heureux","NMM ADM/L/H92",0
749,"Hind","NMM ADM/L/H153",0
750,"Hind","NMM ADM/L/H156",0
751,"Hind","NMM ADM/L/H157",0
752,"Hippomenes","Extract M, Reis 29, pp. 87-90",0
753,"Hippomenes","MAR_D23905_2108",0
754,"Hippomenes","MAR_D23905_2109",0
755,"Hippomenes","Extract M, Reis 29, pp. 82-90",1
756,"Hoop","GAS_Hs_K47_2",0
757,"Hoop","GAS_Hs_K47_3",0
758,"Hoop","GAS_Hs_K47_5",0
759,"Hoop","GAS_Hs_K47_6",0
760,"Hoop","GAS_Hs_K47_7",0
761,"Hope","NMM ADM/L/H121",0
762,"Hornet","NMM ADM/L/H163",0
763,"Hornet","NMM ADM/L/H166",0
764,"Hornet","NMM ADM/L/H167",0
765,"Hornet","NMM ADM/L/H43",0
766,"Hound","NMM ADM/L//H171",0
767,"Hound","NMM ADM/L/H155",0
768,"Hound","NMM ADM/L/H172",0
769,"Hound","NMM ADM/L/H174",0
770,"Hound","NMM ADM/L/H182",0
771,"Hound","NMM ADM/L/H54",0
772,"Humber","NMM ADM/L/H182",0
773,"Hunter","NMM ADM/L/H186",0
774,"Huzaar","MAR_D23905_2157",0
775,"Ilchester","BL L/MAR/B/601B",0
776,"Imperieuse","NMM ADM/L/J50",0
777,"Inconnu-1","Cote - 4/JJ/39",0
778,"Inconnu-2","Cote - 5/JJ/168-1",0
779,"India","Extract B, Reis 14. pp. 231",0
780,"India","Extract C, Reis 10, p.162-169",0
781,"India","Extract L, Reis 4",0
782,"Infanta","CORREOS, 191A R1",0
783,"Infanta","CORREOS, 191A R2",0
784,"Infanta","CORREOS, 191A R3",0
785,"Infanta","CORREOS, 191B R3",0
786,"Infanta","CORREOS, 191B R4",0
787,"Infanta","CORREOS, 191B R5",0
788,"Infanta","CORREOS, 191B R6",0
789,"Infanta","CORREOS, 191B R7",0
790,"Infanta","CORREOS, 191B R8",0
791,"Infanta","CORREOS, 191B R9",0
792,"INFANTE","CORREOS, 273B R12",0
793,"INFANTE","CORREOS, 273B R13",0
794,"INFANTE","CORREOS, 273B R14",0
795,"Inglis","NMM DUD/10",0
796,"Inglis","NMM DUD/2",0
797,"Inglis","NMM DUD/3",0
798,"Inglis","NMM DUD/4",0
799,"Inglis","NMM DUD/5",0
800,"Inglis","NMM DUD/6",0
801,"Inglis","NMM DUD/7",0
802,"Inglis","NMM DUD/8",0
803,"Inglis","NMM DUD/9",0
804,"Inspector","NMM ADM/L/J65",0
805,"Intrepid","NMM ADM/L/J78",0
806,"Intrepid","NMM ADM/L/J81",0
807,"Iphigenia","NMM ADM/L/J100",0
808,"Irene","MAR_D23905_2187",0
809,"Irene","MAR_D23905_2189",0
810,"Iris","MAR_D23318_80",0
811,"Iris","MAR_D23905_2191",0
812,"Isis","NMM ADM/L/J131",0
813,"Isis","NMM ADM/L/J132",0
814,"Isis","NMM ADM/L/J14",0
815,"JACINTA","1177 (242).1",0
816,"Jacob Roggeveen","Extract P, Reis 12, p212-222",0
817,"Jacoba","Extract Y",0
818,"Jacoba Maurina","Extract C, Reis 17, pp.209-237",0
819,"Jacobus","Extract E, Reis 05, p.39-42",0
820,"Jacobus","Extract W, Reis 22. pp 164-182",0
821,"Jamaica","NMM ADM/L/J4",0
822,"Jamaica","NMM ADM/L/J5",0
823,"Jan Daniel","Extract 15+, Reis 57",0
824,"Jan Daniel","Extract T, Reis 02, pp.12-21",0
825,"Jan en Cornelis","ADM_190_4",0
826,"Janus","NMM ADM/L/J14",0
827,"Janus","NMM ADM/L/J17",0
828,"Jason","ADM_177_1176",0
829,"Jason","ADM_193_20",0
830,"Jason","MAR_D23905_2225",0
831,"Jason","NMM ADM/L/J18",0
832,"Jason","NMM ADM/L/J24",0
833,"Java Koerier","Extract O, Reis 09, p. 63-74",0
834,"Java Koerier","Extract O, Reis 14, p.122-131",0
835,"Javaan","Extract O, Reis 22",0
836,"Javaan","Extract P, Reis 4, pp. 40-49",0
837,"Javaan","MAR_D23905_2264",0
838,"Jerusalem","HUA_280",0
839,"Joan de Witt","MAR_D23318_102",0
840,"Johanna","Extract B, Reis 16",0
841,"Jonge Jan","GAA_Bibliotheek_M951_56",0
842,"Jonge Lieve","AAN_1229_1831",0
843,"Juno","ADM_177_3374",0
844,"Juno","ADM_177_3378",0
845,"Jupiter","NMM ADM/L/J147",0
846,"Jupiter","NMM ADM/L/J149",0
847,"Kemphaan","ADM_177_1198",0
848,"Kemphaan","ADM_177_1201",0
849,"Kemphaan","ADM_177_1219",0
850,"Kemphaan","FAM_1207_1",0
851,"Kemphaan","FAM_1207_3",0
852,"Kemphaan","FAM_1207_4",0
853,"Kenau Hasselaar","ADM_180_VII-2",0
854,"Kennington","NMM ADM/L/K6",0
855,"Kent","BL L/MAR/B/41B",0
856,"Kent","BL L/MAR/B/41C",0
857,"Kent","NMM ADM/L/K20B",0
858,"King George III","PRO BH1 1545",0
859,"Kingfisher","NMM ADM/L/K33A",0
860,"Koerier","MAR_D23905_2318",0
861,"Koerier","MAR_D23905_2319",0
862,"Koerier","MAR_D23905_2320",0
863,"Koerier","MAR_D23905_2322",0
864,"Koerier","MAR_D23905_2323",0
865,"Komeet","MAR_D23905_2349",0
866,"Komeet","MAR_D23905_2350",0
867,"Komeet","MAR_D23905_2351",0
868,"Koning Willem II","Extract Z, Reis 25",0
869,"Kortenaer","Extract E, Reis 04, p28-38",0
870,"Kroonprincesse Maria","MMR_VOC_H97",0
871,"L' Esperance","F-1574",0
872,"LA ASTREA","MS. 526",0
873,"LA ATREVIDA","MS. 271",0
874,"LA ATREVIDA","MS. 271, doc 11",0
875,"LA ATREVIDA","MS. 271,doc 18",0
876,"La Belette","Cote - 4/JJ/10",0
877,"La Belle Poule","Cote - 4/JJ/39",0
878,"La Bergere","Cote - 4/JJ/23",0
879,"La Boussole","NIWI-F-1573",0
880,"La Cantabria","CORREOS, 195A R1",0
881,"La Cantabria","CORREOS, 195A R1 bis",0
882,"La Cantabria","CORREOS, 195A R10",0
883,"La Cantabria","CORREOS, 195A R2",0
884,"La Cantabria","CORREOS, 195A R3",0
885,"La Cantabria","CORREOS, 195A R4",0
886,"La Cantabria","CORREOS, 195A R5",0
887,"La Cantabria","CORREOS, 195A R6",0
888,"La Cantabria","CORREOS, 195A R7",0
889,"La Cantabria","CORREOS, 195A R8",0
890,"La Cantabria","CORREOS, 195A R9",0
891,"La Capriciense","Cote - 4/JJ/33",0
892,"La Cassares","Cote - 4/JJ/202",0
893,"La Coulisse","Cote - 4/JJ/23",0
894,"La Danaé","Cote - 4/JJ/22",0
895,"La Dedaigneuse","Cote - 4/JJ/39",0
896,"LA DESCUBIERTA","MS. 168 (5)",0
897,"LA DESCUBIERTA","MS. 92B_14",1
898,"LA DESCUBIERTA Y ATREVIDA","MS. 93_001",0
899,"La Desirée","Cote - 4/JJ/35",0
900,"La Desirée","Cote - 4/JJ/36",0
901,"La Diana","CORREOS, 195B R1",0
902,"La Diana","CORREOS, 195B R12",0
903,"La Diana","CORREOS, 195B R2",0
904,"La Diana","CORREOS, 195B R3",0
905,"La Diana","CORREOS, 195B R4",0
906,"La Diana","CORREOS, 195B R5",0
907,"La Diana","CORREOS, 195B R6",0
908,"La Diana","CORREOS, 195B R7",0
909,"La Diana","CORREOS, 195B R9",0
910,"LA DIANA","CORREOS, 273B R10",0
911,"LA DIANA","CORREOS, 273B R8",0
912,"La Diane","Cote - 4/JJ/13",0
913,"La Durance","Cote - 4/JJ/35",0
914,"La Elourdie","Cote - 4/JJ/39",0
915,"La Favorite","Cote - 4/JJ/25",0
916,"LA FENIX","MS. 321_021",0
917,"La Fleur de Lys","Cote - 4/JJ/22",0
918,"La Flore","NIWI-F-1581",0
919,"La Fortune","Cote - 4/JJ/22",0
920,"La Gironde","Cote - 4/JJ/9",0
921,"La Graciense","Cote - 4/JJ/33",0
922,"LA INFANTA","CORREOS, 273B R11",0
923,"LA JUNO","MS. 1689",0
924,"La Lamproie","Cote - 4/JJ/13",0
925,"La Lamproye","Cote - 4/JJ/36",0
926,"LA LIEBRE","MS. 271,doc 08",0
927,"LA LIEBRE","MS. 943",0
928,"La Loir","Cote - 4/JJ/35",0
929,"La Loire","Cote - 4/JJ/32",0
930,"LA LORETO","MS. 735 BIS",0
931,"La Lourde","Cote - 4/JJ/35",0
932,"LA MASCANIN y LA CASTRIES","MS. 271, doc 21",0
933,"La Ménagére","Cote - 4/JJ/23",0
934,"LA MOSCA","MS. 2280",0
935,"La Nourrice","Cote - 4/JJ/23",0
936,"LA ORBE","MS. 271, doc 15",0
937,"LA PERLA","MS. 1846",0
938,"La Perle","Cote - 4/JJ/23",0
939,"La Petite Fortune","Cote - 4/JJ/9",0
940,"La Pintade","Cote - 4/JJ/13",0
941,"La Pomone","Cote - 4/JJ/22",0
942,"La Poulette","Cote - 4/JJ/26",0
943,"LA PRINCESA","CORREOS, 192A R1",0
944,"LA PRINCESA","CORREOS, 192A R2",0
945,"LA PRINCESA","CORREOS, 192A R3",0
946,"LA PRINCESA","CORREOS, 192A R4",0
947,"LA PRINCESA","CORREOS, 192A R5",0
948,"LA PRINCESA","CORREOS, 192A R7",0
949,"LA PRINCESA","CORREOS, 192B R4",0
950,"LA PRINCESA","CORREOS, 192B R5",0
951,"LA PRINCESA","CORREOS, 195A R7",0
952,"LA PRINCESA","CORREOS, 195B R13",0
953,"LA PRINCESA","CORREOS, 276B R5",0
954,"LA PRINCESA","MS. 732",0
955,"La Seine","Cote - 4/JJ/12",0
956,"La Seine","Cote - 4/JJ/23",0
957,"La Seine","Cote - 4/JJ/9",0
958,"LA SUERTE","MS. 879",0
959,"LA SUERTE (SAN FCO JAVIER)","MS. 879",0
960,"La Terpsicore","Cote - 4/JJ/23",0
961,"La Tourterelle","Cote - 4/JJ/23",0
962,"LA VENUS","MS. 167",0
963,"LABORDE","1340(36).5 y 1340 (36).6",0
964,"L'Actif","Cote - 4/JJ/13",0
965,"L'actionnaire","Cote - 4/JJ/39",0
966,"L'Aimable","NMM ADM/L/A251",0
967,"L'aimable Marie Anne","Cote - 4/JJ/10",0
968,"L'Ambition","Cote - 4/JJ/22",0
969,"Lancaster","NMM ADM/L/L110",0
970,"Lancaster","NMM ADM/L/L17",0
971,"Landskroon","VOC_152_5133",0
972,"Lansdown","BL L/MAR/B/373C",0
973,"Lansier","MAR_D23905_2578",0
974,"Lapwing","BL L/MAR/B/475C",0
975,"Lapwing","NMM ADM/L/L19",0
976,"L'Aquillon","Cote - 4/JJ/22",0
977,"Lark","NMM ADM/L/L30",0
978,"Lark","NMM ADM/L/L34",0
979,"Lascelles","BL L/MAR/B/408B",0
980,"Lascelles","BL L/MAR/B/408C",0
981,"Laurel","NMM ADM/L/L163",0
982,"Laurel","NMM ADM/L/L55",0
983,"Le Aigle","Cote - 4/JJ/9",0
984,"Le Amphitrite","Cote - 4/JJ/39",0
985,"Le Barbeau","Cote - 4/JJ/36",0
986,"Le Bizarre","Cote - 4/JJ/9",0
987,"Le Bizarre","Cote - 4/JJ/9",1
988,"Le Chariot Royal","Cote - 4/JJ/12",0
989,"Le Chariot Royal","Cote - 4/JJ/9",0
990,"Le Danube","Cote - 4/JJ/23",0
991,"Le Desiré","Cote - 4/JJ/23",0
992,"Le Etoile","Cote - 4/JJ/35",0
993,"Le Furet","Cote - 4/JJ/12",0
994,"Le Leopard","Cote - 4/JJ/22",0
995,"Le Oiseau","Cote - 4/JJ/23",0
996,"Le Paquebot","Cote - 4/JJ/13",0
997,"Le Parham","Cote - 4/JJ/9",0
998,"Le Prothée","Cote - 4/JJ/9",0
999,"Le Rhinoceros","Cote - 4/JJ/9",0
1000,"Le Rhóne","Cote - 4/JJ/35",0
1001,"Le Rossignol","Cote - 4/JJ/23",0
1002,"Le Salomon","Cote - 4/JJ/9",0
1003,"Le Saumon","Cote - 4/JJ/35",0
1004,"Le Serin","Cote - 4/JJ/39",0
1005,"Le Triton","Cote - 4/JJ/9",0
1006,"Le Vaillans","Cote - 4/JJ/39",0
1007,"Le Valeur","Cote - 4/JJ/9",0
1008,"Le Vicomte de Choiseuil","Cote - 4/JJ/9",0
1009,"Le Zephir","Cote - 4/JJ/22",0
1010,"Leocadia","NMM ADM/L/L113",0
1011,"L'Etoile","Cote - 4/JJ/32",0
1012,"Levant","NMM ADM/L/L101",0
1013,"Levant","NMM ADM/L/L102",0
1014,"Leviathan","NMM ADM/L/L108",0
1015,"L'Experiment","Cote - 4/JJ/10",0
1016,"L'Heureux","Cote - 4/JJ/9",0
1017,"L'Hipocrite","Cote - 4/JJ/36",0
1018,"LIEBRE","MS. 2251",0
1019,"LIEBRE","MS. 965",0
1020,"LIEBRE","MS. 156 DOC 001",1
1021,"Lilly","NMM ADM/L/L163",0
1022,"Lilly","NMM ADM/L/L55",0
1023,"L'Indiscrette","Cote - 4/JJ/23",0
1024,"L'isis","Cote - 4/JJ/23",0
1025,"Lively","NMM ADM/L/L155",0
1026,"Lively","NMM ADM/L/L240",0
1027,"Liverpool","NMM ADM/L/L167",0
1028,"Liverpool","NMM ADM/L/L168",0
1029,"Liverpool","NMM ADM/L/L170",0
1030,"Liverpool","NMM ADM/L/L172",0
1031,"Lizard","NMM ADM/L/L178",0
1032,"L'Oiseau","NMM ADM/L/L285",0
1033,"Loopuijt","Extract H, Reis 08, p178-200",0
1034,"Loopuijt","Extract H, Reis 5, pp. 79-98",0
1035,"Lord Anson","BL L/MAR/B/549B",0
1036,"Lord Walsingham","BL L/MAR/B/346A",0
1037,"Lord Walsingham","BL L/MAR/B/346C",0
1038,"LOS TRES AMIGOS","MS. 159 (4)",0
1039,"Lowestoffe","NMM ADM/L/L214",0
1040,"Lucipara's","Extract O, Reis 23",0
1041,"Lucipara's","Extract O, Reis 25a",0
1042,"Lucipara's","Extract O, Reis 25b",0
1043,"Lucipara's","Extract P, Reis 1",0
1044,"Lucipara's","Extract P, Reis 6, pp 61-69",0
1045,"Lucipara's","Extract P, Reis 8a, pp. 81-100",0
1046,"Lucipara's","Extract P, Reis 8b, pp 101-108",0
1047,"Ludlow Castle","NMM ADM/L/L240",0
1048,"Lynn","NMM ADM/L/A266",0
1049,"Lynx","MAR_D23905_2696",0
1050,"Lynx","NMM ADM/L/L160",0
1051,"Lynx","NMM ADM/L/L273",0
1052,"Maarsen","ADM_177_2396",0
1053,"Maarseveen","AAN_1229_112",0
1054,"Maas","MAR_D23905_2748",0
1055,"Maas","MAR_D23905_2749",0
1056,"Maas","Extract 1+, Reis 7",1
1057,"Maas Nijmph","Extract H, Reis 06, pp. 222-24",0
1058,"Maasnimph","ADM_177_1215",0
1059,"Macqueen","NMM LOG/C/71",0
1060,"MAGALLANES","MS. 272, doc 1",0
1061,"Magdalena","Extract B",0
1062,"Magdalena","Extract B, Reis 01c, p.20-28",0
1063,"Magdalena","Extract B, Reis 1",0
1064,"MAGDALENA","MS. 1623",0
1065,"Magdalena","Extract B, Reis 01a, p.2-9",1
1066,"Magdalena","Extract B, Reis 01b, p.10-19",1
1067,"MAGDALENA","MS. 2020",1
1068,"Magicienne","NMM ADM/L/M16B",0
1069,"Magnanime","NMM ADM/L/M206",0
1070,"Majestic","NMM ADM/L/M204",0
1071,"Majestic","NMM WAR/6",0
1072,"Malabar","NMM ADM/L/M286",0
1073,"Manilla","NMM ADM/L/M106A",0
1074,"Margaretha en Maria","Extract M, Reis 32, pp 104-107",0
1075,"Margaretha Simonette","Extract M, Reis 39, pp159-183",0
1076,"Maria","Extract B, Reis 13",0
1077,"Maria","Extract L, Reis 2",0
1078,"Maria","Extract W, Reis 21. pp 156",0
1079,"Maria Elisabeth","Extract Z, Reis 20",0
1080,"Maria Elisabeth","Extract Z, Reis 7",0
1081,"Maria Magdalena","CORREOS, 194B R10",0
1082,"Maria Magdalena","CORREOS, 194B R9",0
1083,"Maria Magdalena","MS. 2021",0
1084,"Maria Reigersbergen","MAR_D23905_3654",0
1085,"Maria Reigersbergen","MAR_D23905_3655",0
1086,"Maria Reigersbergen","MAR_D23905_3658",0
1087,"Marij-Goddard","Extract H, Reis 06, pp. 201-22",0
1088,"Marlborough","BL L/MAR/B/602H",0
1089,"MARQUESA DE BALVUENA","MS. 178",0
1090,"Marquis of Lansdowne","BL L/MAR/B/373B",0
1091,"Mars","ADM_177_1171",0
1092,"MARTE","MS. 958",0
1093,"Martin","NMM ADM/L/M14",0
1094,"Martin","NMM ADM/L/M16B",0
1095,"Martin","NMM ADM/L/M73",0
1096,"Medea","NMM ADM/L/M157",0
1097,"Mediator","NMM ADM/L/M14",0
1098,"Medusa","NMM ADM/L/M109",0
1099,"Medway","NMM ADM/L/M126",0
1100,"Medway","NMM ADM/L/M130",0
1101,"Medway","NMM ADM/L/M134",0
1102,"Meermin","Extract T, Reis 6",0
1103,"Meermin","MAR_D23905_3056",0
1104,"Meermin","MAR_D23905_3058",0
1105,"Meermin","MAR_D23905_3059",0
1106,"Meermin","MAR_D23905_3061",0
1107,"Melampus","MAR_D23905_3064",0
1108,"Melville Castle","NMM CLU/11",0
1109,"Menado","Extract W, Reis 11, pp.91-95",0
1110,"Mentor","Extract O, Reis 13, p.113-122",0
1111,"Mentor","VOC_152_11437",0
1112,"Merapi","Extract V, Reis 9, pp. 77-82",0
1113,"Mercator","Extract G, Reis 38",0
1114,"Mercator","Extract G, Reis 39",0
1115,"Mercator","Extract H, Reis 5, pp 99-124",0
1116,"MERCURIO","MS. 2281",0
1117,"Mercurius","MCC_20_744",0
1118,"Mercurius","MCC_20_748",0
1119,"Mercurius","MCC_20_752",0
1120,"Mercurius","MCC_20_758",0
1121,"Mercury","NMM ADM/L/M151",0
1122,"Mercury","NMM ADM/L/M156",0
1123,"Mercury","NMM ADM/L/M158",0
1124,"Mercuur","MAR_D23905_3092",0
1125,"Mercuur","MAR_D23905_3093",0
1126,"Mercuur","MAR_D23905_3094",0
1127,"Merlin","NMM ADM/L/M157",0
1128,"Merlin","NMM ADM/L/M166",0
1129,"Merlin","NMM ADM/L/M289A",0
1130,"Mermaid","NMM ADM/L/M176",0
1131,"Mermaid","NMM ADM/L/M177",0
1132,"Mermaid","NMM ADM/L/M179",0
1133,"Merwede","Extract M, Reis 27, pp. 66-77",0
1134,"Middelburg","ADM_1113_9",0
1135,"Middelburgs Welvaren","MCC_20_775",0
1136,"Middelburgs Welvaren","MCC_20_781",0
1137,"Middelburgs Welvaren","MCC_20_787",0
1138,"Minerva","NMM ADM/L/M109",0
1139,"Minerva","NMM ADM/L/M158",0
1140,"MIÑO","MS. 111/DOC4",0
1141,"MIÑO","MS. 243",0
1142,"MIÑO","MS. 111/DOC4",1
1143,"Monarca","NMM ADM/L/M16B",0
1144,"Monmouth","NMM ADM/L/M158",0
1145,"Monmouth","NMM ADM/L/M16B",0
1146,"Montague","NMM ADM/L/M13",0
1147,"Montreal","NMM ADM/L/M166",0
1148,"Morning Star","NMM ADM/L/M13",0
1149,"Na Sa DE ARANZAZU","MS. 2193",0
1150,"Na Sa DE LA PIEDAD","MS. 099, doc 2",0
1151,"Na Sa DE LOS DOLORES","MS. 159 (3)",0
1152,"Na Sa DE LOS DOLORES","MS. 415",0
1153,"Na Sa DE LOS DOLORES","MS. 179 (1)",1
1154,"Na Sa DE LOS DOLORES","MS. 159 (3)",2
1155,"Na Sa DEL CARMEN","MS. 245",0
1156,"Na Sa DEL CARMEN (EL GRIEGO)","MS. 933",0
1157,"Na Sa DEL ROSARIO","MS. 272 DOC 15",0
1158,"Na Sa DEL ROSARIO","MS. 413",0
1159,"Na Sa DEL ROSARIO, (LA PAZ)","MS. 1779",0
1160,"Na Sa DEL VALLE","MS. 243",0
1161,"Naiade","NMM ADM/L/N2B",0
1162,"Namur","NMM ADM/L/N17",0
1163,"Narcissus","NMM ADM/L/N2B",0
1164,"NaSa DEL ROSARIO (LA NUMANCIA)","MS. 215",0
1165,"NaSa DEL ROSARIO,STMA TRINIDAD","MS. 272 DOC 15",0
1166,"Nassau","Extract L, Reis 6",0
1167,"Nassau-Weilburgh","ADM_193_25",0
1168,"Nautilus","NMM ADM/L/N172",0
1169,"Nautilus","NMM ADM/L/N53b",0
1170,"Nederlands Welvaren","MMR_WAE191",0
1171,"Nederwaard","Extract E, Reis 03, p19-27",0
1172,"Neerlands Indië","Extract M, Reis 26, pp 58",0
1173,"Neerlands Koning","Extract B, Reis 10",0
1174,"Neerlands Koning","Extract B, Reis 18",0
1175,"Neerlands Koning","Extract L, Reis 1",0
1176,"Nehalennia","MAR_D23905_3277",0
1177,"Nehalennia","MAR_D23905_3278",0
1178,"Nehalennia","Extract T, Reis 18",1
1179,"Neptune","NMM ADM/L/N69b",0
1180,"Nereide","NMM ADM/L/N53b",0
1181,"Nereide","NMM ADM/L/N69b",0
1182,"Newcastle","NMM ADM/L/N101",0
1183,"Newcastle","PRO ADM 51/3315",0
1184,"Nieuw Lekkerland","Extract Y",0
1185,"Nieuw Lekkerland","Extract Y, pp. 46-49",0
1186,"Nieuw Lekkerland","Extract Y, Reis 29",0
